Titulo,Check,IMDBid,Nota,Votos,Elenco,Gênero,Duração,Reviews,Ano,Data de estréia,Roteiristas,Censura,País,Idiomas,Episodios
The Eddy,tv mini series,7322210,7.2,2786.0,"André Holland, Joanna Kulig, Leïla Bekhti, Adil Dehbi, Randy Kerber, Ludovic Louis, Damian Nueva, Lada Obradovic, Jowee Omicil, Amandla Stenberg, Léonie Simaga, Vincent Heneine, Elyes Aguis, Alexis Manenti, Benjamin Biolay, Sopico, Hajar Chafik, Noé Stanic, Tahar Rahim, Ouassini Embarek, Omar El Barakoui, Melissa George, Dhafer L'Abidine, Liah O'Prey, Afida Tahri, Louis Moutin, Benjamin Petit, Mathilde Wambergue, Tchéky Karyo, Jisca Kalvanda, Narcisse Mame, Charles Tesnière, Anne Paris, Anaïs Fabre, Séphora Haymann, Agnieszka Pilaszewska, Tamara Krcunovic, Doug Rand, Amine Mahamat Gabdou, Etienne Guillou-Kervern, Zoé Lemonnier, Richard Keep, Annie Mercier, Philippe Rigot, Ian McCamy, Raf Bessaoud, Tania Dessources, Bryan Polach, Sacha Petronijevic, Mostefa Djadjam","Drama, Music",NA,25.0,2020.0,2020-02-27,"Jack Thorne, Jack Thorne, Jack Thorne","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:12, Singapore:R21, South Korea:18, Spain:16, United Kingdom:15::(self-applied), United States:TV-MA::(self-applied)","United Kingdom, Germany, United States, France","French, English",8.0
Over Christmas,tv mini series,11951234,6.7,1792.0,"Luke Mockridge, Seyneb Saleh, Cristina do Rego, Lucas Reiber, Johanna Gastdorf, Rudolf Kowalski, Carmen-Maja Antoni, Eugen Bauder, Eike Weinreich, Jonathan Kwesi Aikins, Roman Hipp, Eskindir Tesfay, Nino Porzio, Marylu Poolman, Christian Skibinski","Comedy, Drama, Romance",48,15.0,2020.0,2020-11-27,Christian Huber,"Argentina:13, Australia:M, Germany:12::(self-applied), Netherlands:6, Singapore:M18, South Korea:15",Germany,German,3.0
After Life,tv series,8398600,8.4,95438.0,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Kerry Godliman, Ashley Jensen, Paul Kaye, Anti, Penelope Wilton, Joe Wilkinson, Michelle Greenidge, Roisin Conaty, Tommy Finnegan, Jo Hartley, David Earl, Ethan Lawrence, Laura Patch, Tim Plester, Thomas Bastable, Tracy Ann Oberman, Peter Egan, Colin Hoult, Bill Ward, Kayla Meikle, Steve Speirs, Annette Crosbie, Ninette Finch, Daniel Copeland, Adrian McLoughlin, Alexander Kirk, Tim Fitzhigham, Sean McLoughlin, Nancy Sullivan, Nicky B, Megan Heffernan, Seb Cardinal, Nikhil Parmar, Dan Li, Brendan Howley, Beth Mullen, Kath Hughes, Mark Weinman, Islam Bouakkaz, Steve Brody, Gillian Axtell, Holli Dempsey, Toby Foster, Julia Dearden","Comedy, Drama",30,25.0,2019.0,2019-03-08,"Ricky Gervais, Ricky Gervais","Argentina:18, Australia:R18+::(Netflix self-rating, Season 1), Australia:MA15+::(Netflix self-rating, Season 2), Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16, India:18::(self-applied), Italy:VM14, Japan:R18+::(internet), Mexico:TV-MA::(self-applied), Netherlands:12, Philippines:18+::(self-applied), Poland:18::(self-applied), Singapore:M18, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA",United Kingdom,English,6.0
Search,tv series,12923294,7.3,353.0,"Dong-Yoon Jang, Krystal Jung, Bak Yoon, Hyun-Wook Lee, Jung-hee Moon, Park Da-Yeon, Ha-yul Lee, Lee Soon-won, Yu Seong-Ju, Lee Tae-Young, Yeong-min Yoon, Choi Yoon-Je, Choi Deok-moon, Hong Eui-Joon, Da-Won Jung, Woo-jin Yeon, Ho-jung Kim, In-woo Kim, Chang-ik Park, Seo Byeok-Joon, Do-yub Lee, Jung Dong-geun, Lee Gyeong-Min, Kim Han-Jong, Yong-hee Kim, Ha Seung-Youn, Lee Ga-Kyung, Dong-kyu Lee","Mystery, Thriller",60,12.0,2020.0,2020-10-17,"Myeung-ju Ko, Goo Mo",India:16::(self-applied),South Korea,Korean,10.0
Mr. Iglesias,tv series,8403536,7.1,6251.0,"Gabriel Iglesias, Sherri Shepherd, Jacob Vargas, Maggie Geha, Cree Cicchino, Fabrizio Guido, Tucker Albrizzi, Gloria Aung, Richard Gant, Oscar Nuñez, Coy Stewart, Christopher McDonald, Brooke Sorenson, Kathryn Feeney, Elora Casados, Bentley Green, Chris Garcia, Jesus Trejo, Harlan Ray, Megyn Price, Ron Pearson, Paul Wight, Joel McHale, Jo Koy, Franco Escamilla, Maria Quezada, Herve Clermont, Alfred Robles, Sei De'Art, Ivy Iacono, Carol Lyn Black, Yolanda Snowball, Kym Whitley, Vivian Bang, Ronnie Ashury, Roy Nowlin, Smac, Kausha Campbell, Christina Sturgeon, Molly Malin",Comedy,30,25.0,2019.0,2019-06-21,"Kevin Hench, Kevin Hench, Chris Garcia","Argentina:13, Australia:PG, Brazil:12, Canada:TV-14, France:7, Germany:6, India:13::(self-applied), Italy:T, Japan:PG12::(self-applied), Mexico:TV-14::(self-applied), Netherlands:6::(season 1), Netherlands:AL, (season 2: part 1), Philippines:13+::(self-applied), Singapore:PG13, South Korea:15, Spain:7::(self-applied), United Kingdom:15, United States:TV-14",United States,English,10.0
Who Killed Sara?,tv series,11937816,6.4,11250.0,"Manolo Cardona, Ginés García Millán, Carolina Miranda, Eugenio Siller, Claudia Ramírez, Ximena Lamadrid, Alejandro Nones, Luis Roberto Guzmán, Rocco Narva, Juan Carlos Remolina, Andres Baida, Leo Deluglio, Fátima Molina, Polo Morin, Marco Zapata, Martín Saracho, Ana Lucía Domínguez, Iñaki Godoy, Héctor Jiménez, Ela Velden, Josh Sanchez, Litzy, Fernando Sansores, Mar Carrera, Are Rojas, Matías Novoa, Julieta Soto Martínez, María Andrea, Cayetano Arámburo, Marco Treviño, Micaela W. Morello, Alex Brizuela, Denisse Corona, Antonio de la Vega, Dunia Alexandra, Daniel Giménez Cacho, Úrsula Pruneda, Terrence Stickman, Claudette Maillé, Valentina Manzini, Mikael Lacko, Luciana González De León, Alaciel Molas, Oscar Piñero, Sharon Freedman, Damian Vergara, Manuel Domínguez, Carlos Hendrix, Gabriela Ortiz, Romina Soto","Crime, Drama, Mystery, Thriller",NA,25.0,2021.0,2021-03-24,"José Ignacio Valenzuela, José Ignacio Valenzuela, Rosario Valenzuela","Australia:MA15+::(self-applied), Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), Hungary:16, India:18::(self-applied), Italy:VM14::(self-applied), Japan:R15+::(self-applied), Mexico:TV-MA::(self-applied), Philippines:18+::(self-applied), Poland:16, Singapore:R21, South Korea:Youth not allowed::(self-applied), Spain:16, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied)",Mexico,Spanish,10.0
Extracurricular,tv series,10262630,7.7,4601.0,"Kim Dong-Hee, Park Joo-Hyun, Da-bin Jung, Nam Yoon-Su, Min-su Choi, Hyuk-kwon Park, Kim Yeo-jin, Nicole Fong, Chase Yi, Darren Keilan, Angie Kim, Lauren Han, Paul Syre, Hester Jean Lee, David Chen, Brandon Win, Kim Kwang-gyu, Victoria Grace, Han-sol Kwon, Seo Ye-hwa, Yi-yeong Shim, Baek Joo-Hee, Kim Young-pil, Park Ho-San, Choi Dae-hoon, Michael Shen, Billy Choi, Kim Yi-Kyeong","Crime, Drama",50,25.0,2020.0,2020-04-29,Jin Han-sae,"Argentina:16, Australia:MA15+, Brazil:18, France:16::(self-applied), Germany:16, India:16::(self-applied), Indonesia:16+::(self-applied), Italy:VM14::(self-applied), Japan:R15+::(self-applied), Philippines:16+::(self-applied), Poland:16::(self-applied), Singapore:R21, South Korea:18, Spain:16::(self-applied), Sweden:16+::(self-applied), Turkey:16+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:16+::(self-applied)",South Korea,Korean,10.0
Tidelands,tv series,6898970,7.0,7342.0,"Charlotte Best, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Caroline Brazier, Elsa Pataky, Jet Tranter, Alex Dimitriades, Richard Davies, Peter O'Brien, Cate Feldmann, Annabelle Stephenson, Brad McMurray, Madeleine Madden, Finn Little, Jacek Koman, Chloe De Los Santos, Bianca Saul, Alex Andreas, Dustin Clare, Sam Conway, Tom Cossettini, Zoe King, Loani Arman, Hunter Page-Lochard, Daniel Roberts, Mick Corrigan, Michael Vice, Yasca Sinigaglia, Scott Gregory, Jace Lee, Damien Garvey, Gary Young, Melanie Zanetti, Darko Tuscan, Scott George, Sam Foster, Luisa Prosser, Robert Reitano, Lisa Seiffert, John Reynolds, Brendan Glanville, Stephen Daddow, Arnijka Larcombe-Weate, Miyuki Lotz, Tracie Filmer, Barbara Lowing, Neveen Hanna, Bryan Probets","Crime, Drama, Fantasy",60,25.0,2018.0,2018-12-14,"Stephen M. Irwin, Stephen M. Irwin, Stephen M. Irwin","Australia:MA15+::(Netflix self-rating), Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(self-applied), India:18::(self-applied), Italy:VM14, Mexico:TV-MA::(self-applied), Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:13, Sweden:13::(self-applied), Turkey:18+::(self-applied), United Kingdom:18, United States:TV-MA",Australia,English,8.0
She,tv series,11905720,6.5,3268.0,"Dawood Khan, Aditi Sudhir Pohankar, Vijay Varma, Vishwas Kini, Paritosh Sand, Shivani Rangole, Suhita Thatte, Ajay Jadhav, Sandeep Dhabale, Saqib Ayub, Bhakti Patharey, Prakash Sudarshan, Kishore Kumar G., Habib Aajmi Sheikh, Jay Jha, Ranjith Reddy, Chandramouli Kalyana Chakravarthy, Anandi Ramchandran Joshi, Chirag Malhotra, Suneet Bora, Monika Dabade, Ramdutt, Yuvraaj Gupta","Crime, Drama",36,25.0,2020.0,2020-03-20,"Imtiaz Ali, Imtiaz Ali, Imtiaz Ali","Argentina:16, Australia:MA15+, Germany:16::(self-applied), India:16::(self-applied), Netherlands:16, Philippines:16+::(self-applied), Singapore:NC16, South Korea:18",India,Hindi,7.0
Nobody's Looking,tv series,11131980,7.8,1761.0,"Victor Lamoglia, Júlia Rabello, Kéfera Buchmann, Augusto Madeira, Danilo de Moura, Leandro Ramos, Telma Souza, Thor Bishopric, Projota, Sergio Pardal, Kevin Vechiatto, Felipe Riquelme, Eliana Guttman, Fafá Rennó, Esther Dias, Felipe de Carolis, Jackie Obrigon, Hermínio Ribeiro, Wally Araújo, Wanessa Morgado, Bella Marcatti, Vanessa Oliveira, Priscila Sol, Thati Lopes, Wallie Ruy, Maurício de Barros, Paulo Vasconcelos, Rebecca Kassab, Thais Lago, Atsumi Iwakiri, Avelino Los Reis, Mariana Leme, Alexandre Paes Leme, Beatriz Campus, Carlota Joaquina, Ma Absa Pene, Brenda Lígia, Carlos Grillo, Mayoro Dione, Maria Tuca Fanchin, Alice Gattai, Ana Costa, Celso Kamura, Constanze von Oertzen, Lívia La Gatto, Alex Sorlino, Carlos Gimenez, Carlos Sakata, Alexandre Ogata, Murilo Meola","Comedy, Drama, Fantasy",NA,25.0,2019.0,2019-11-22,"Carolina Markowicz, Carolina Markowicz, Teodoro Poppovic","Brazil:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Singapore:R21, South Korea:18, Spain:16::(self-applied), Turkey:18+::(self-applied), United Kingdom:15",Brazil,Portuguese,8.0
The Big Show Show,tv series,10726356,6.4,2239.0,"Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant, Juliet Donenfeld, Jaleel White, Dallas Young, Ben Giroux, Jaime Moyer, Asif Ali, Jolie Hoang-Rappaport, Marisa Chen Moller, Emma Loewen, Tessa Espinola, Gabriel Iglesias, Mark Henry, Jill Basey, Mick Foley, Tan France, Raymond Ochoa, Ithamar Enriquez, Solofa Fatu Jr., Brian Gallivan, Bruno Amato, Saylor Bell, Savannah Rodin, Wayne Wilderson, Eli Bildner, Adam Lustick, Bert Belasco, Giselle Torres, Somali Rose, Wayne Sable, Declan Whaley, Tabyana Ali, Ludwig Manukian, Angela Fornero, Megan Truong, Andy St. Clair, Chris Smith, Julian Zane Chowdhury, Eli Michael Kaplan, April Marshall-Miller, Hajin Cho, Carsyn Rose, Yonas Kibreab, Natalie Ceballos, Apolla Asteria, Riley St. John",Comedy,NA,25.0,2020.0,2020-04-06,"Jason Berger, Jason Berger, Josh Bycel","Argentina:Atp, Australia:G, Brazil:Livre, Brazil:10::(VHS and DVD rating), Canada:TV-PG, Canada:TV-G::(self-applied), France:Tous publics, Germany:0, Germany:12::(new rating), Italy:T, Mexico:A, Netherlands:6, Singapore:PG, South Korea:12, Spain:TP, United Kingdom:U, United Kingdom:PG::(DVD rating), United States:TV-G, United States:TV-PG::(TV rating)",United States,English,10.0
Brews Brothers,tv series,10930958,5.1,1823.0,"Mike Castle, Alan Aisenberg, Carmen Flood, Marques Ray, James Earl, Mike Mitchell, Zach Reino, Inanna Sarkis, Flula Borg, Toby Huss, Lisa Arch, Anita Barone, Stephen Rannazzisi, John Ennis, Gillian Vigman, Adam Foster Ballard, William Samiri, Mason Wells, Asif Ali, Wayne Federman, Markie Farnsley, Reynaldo Gallegos, Nick Corirossi, Jon Daly, Paul Jurewicz, Matthew Glave, David Figlioli, Philip Smithey, Andrew Lukich, Scott Rosendall, Karen Maruyama, Greg Tuculescu, Michael Wayne Foster, Amber Chardae Robinson, Cameron Bedford, Kale Bittner, Sharmita Bhattacharya, Alexandra Scott, Taj Speights, D.C. Pierson, John Suazo, Chelsea M. Davis, Jay Linzy, Simon Gibson, Claudia de Vasco, Zachary James Rukavina, Monica Day, Frankie Corzo, Megan Green, Chris Tallman",Comedy,NA,25.0,2020.0,2020-04-10,"Greg Schaffer, Greg Schaffer, Steve Joe","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), France:16::(self-applied), Germany:16::(self-applied), India:18+::(self-applied), Italy:VM14::(self-applied), Netherlands:16, Philippines:18+::(self-applied), Singapore:M18, South Korea:18, Spain:16, Sweden:16+::(self-applied), United Kingdom:15::(self-applied), United States:TV-MA::(self-applied)",United States,English,8.0
The Baby-Sitters Club,tv series,8690518,7.4,3240.0,"Sophie Grace, Momona Tamada, Shay Rudolph, Malia Baker, Vivian Watson, Alicia Silverstone, Sophia Reid-Gantzert, Anais Lee, Marc Evan Jackson, Kyndra Sanchez, Jessica Elaina Eason, Xochitl Gomez, Mark Feuerstein, Takayo Fischer, Benjamin Goas, Rian McCririck, Dylan Kingwell, Aya Furukawa, Daphne Hoskins, Sebastian Billingsley-Rodriguez, Shauna Johannesen, Ethan Farrell, Bear Blu Silverstone, Aletheia Berry, Karin Konoval, Diana Bang, Peter Benson, Kevan Ohtsji, Connor O'Mahony, Madison Guppy, Tami Sagher, Bodhi Sabongui, Christina Sicoli, Kelcey Mawema, Beatrice Kitsos, Kalyn Miles, Sara Halliburton, Brock Brown, Sawyer Fraser, Troy Ames, Romy Sanchez, Luke Roessler, Rebekka Johnson, Kai Shappley, Noah Bean, Matt Hamilton, Brandee Steger, Caitlin Howden, Julie Lynn Mortensen, Benjamin Jacobson","Short, Adventure, Comedy, Drama, Family",NA,25.0,2020.0,2020-07-03,"Lisha Brooks, Lisha Brooks, Lisha Brooks","Argentina:Atp, Australia:PG, Brazil:Livre::(self-applied), Canada:TV-PG, Canada:TV-G::(self-applied), France:Tous publics, Germany:6, India:7::(self-applied), Indonesia:13+::(self-applied), Italy:T::(self-applied), Japan:G::(self-applied), Mexico:TV-PG::(new rating), Mexico:TV-G::(self-applied), Netherlands:AL::(self-applied), Philippines:13+::(self-applied), Poland:12::(self-applied), Singapore:PG, South Korea:All, South Korea:7::(DVD rating), Spain:TP, Sweden:All::(self-applied), Turkey:13+::(self-applied), United Kingdom:PG, United States:TV-PG::(TV rating), United States:TV-G::(self-applied), United Arab Emirates:13+::(self-applied)",United States,English,10.0
Dead to Me,tv series,8064302,8.0,65693.0,"Christina Applegate, Linda Cardellini, Sam McCarthy, Luke Roessler, James Marsden, Max Jenkins, Diana Maria Riva, Brandon Scott, Keong Sim, Natalie Morales, Valerie Mahaffey, Suzy Nakamura, Ed Asner, Haley Sims, Eien Kobayashi, Telma Hopkins, Frances Conroy, Jadon Cole, Dylan Kate, Jere Burns, Adora Soleil Bricher, Sadie Stanley, Chelsea Spack, Lily Knight, Katey Sagal, Renee Victor, John Ennis, Ericka Kreutz, Marc Evan Jackson, Rick Holmes, Edward Fordham Jr., Blair Beeken, Marcus Brown, Steve Howey, Olivia Macklin, Beth Hoyt, Beth Littleford, Owen Robinson, Michole Briana White, Sunkrish Bala, Greg Bryan, Tiffany Yvonne Cox, Chris Aquilino, Lisa Schurga, Reatha Grey, Tara Karsian, Gloria Calderon Kellett, Jen Kober, David Douglas, Lizz Adams","Comedy, Crime, Drama",30,25.0,2019.0,2019-05-03,"Liz Feldman, Liz Feldman, Liz Feldman","Argentina:16, Australia:M, Brazil:16, Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(self-applied), India:18::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:12, Philippines:18+::(self-applied), Poland:16::(self-applied), Portugal:M/12::(Netflix rating), Singapore:M18, South Korea:18, Spain:13, Sweden:13::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied)",United States,English,10.0
Behind Her Eyes,tv mini series,9698442,7.2,51179.0,"Simona Brown, Eve Hewson, Tom Bateman, Robert Aramayo, Tyler Howitt, Georgie Glen, Aaron Anthony, Nichola Burley, Aston McAuley, Charlotte Mills, Roshan Seth, Roger Ringrose, Lizzy McInnerny, Grevon Harris, Eva Birthistle, Hannah Traylen, Stephen Love, Hannah Stokely, Laura Aramayo, Rodney Matthew, Nell Barlow, Caroline Guthrie, Nila Aalia, Elan James, Richie Lawrie, Ruth Horrocks, A.k. Steppa, Paul Riddell","Drama, Mystery, Thriller",298,25.0,2021.0,2021-02-17,"Steve Lightfoot, Steve Lightfoot, Sarah Pinborough","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Singapore:R21, South Korea:18, Spain:16, United Kingdom:15, United States:TV-MA::(self-applied)",United Kingdom,English,6.0
Dark,tv series,5753856,8.8,327648.0,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne, Jördis Triebel, Andreas Pietschmann, Stephan Kampwirth, Paul Lux, Christian Hutcherson, Oliver Masucci, Moritz Jahn, Peter Benedict, Gina Stiebitz, Deborah Kaufmann, Daan Lennard Liebrenz, Julika Jenkins, Carlotta von Falkenhayn, Tamar Pelzig, Dietrich Hollinderbäumer, Mark Waschke, Leopold Hornung, Will Beinbrink, Christian Pätzold, Hermann Beyer, Christian Steyer, Lisa Kreuzer, Anne Ratte-Polle, Walter Kreye, Lydia Maria Makrides, Nele Trebs, Tatja Seibt, Lea van Acken, Shani Atias, Max Schimmelpfennig, Ella Lee, Tom Philipp, Peter Schneider, Sandra Borgmann, Carina Wiese, Mieke Schymura, Barbara Nüsse, Anton Rubtsov, Lea Willkowsky, Jakob Diehl, Sylvester Groth, Hans Diehl, Ludger Bökelmann, Sebastian Hülk, Claude Heinrich, Arnd Klawitter","Crime, Drama, Mystery, Sci-Fi, Thriller",60,25.0,2017.0,2017-09-09,"Baran bo Odar, Jantje Friese, Jantje Friese","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), Chile:16+::(Netflix self-rating), France:16, Germany:16, Iceland:15::(self-applied), India:16+::(self-applied), Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:12::(season 1), Netherlands:16::(seasons 2 and 3), Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16, Russia:18+, Singapore:M18, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA, United Arab Emirates:18+::(self-applied), Vietnam:C18","Germany, United States",German,10.0
The Mechanism,tv series,6873658,8.3,35880.0,"Caroline Abras, Selton Mello, Enrique Diaz, Jonathan Haagensen, Otto Jr., Antonio Saboia, Lee Taylor, Osvaldo Mil, Suzana Ribeiro, Giulio Lopes, Alessandra Colassanti, Arthur Kohl, Sura Berditchevsky, Karla Tenório, Tonio Carvalho, Denise Blasor, Emílio Orciollo Netto, Leonardo Medeiros, Carlos Meceni, Léo Rosa, Sean Burgos, Vinicius Zinn, Raquel Rocha, Jayme Periard, Michel Bercovitch, Cristina Flores, Aryè Campos, Anna Cotrim, Júlia Svacinna, Esther Medeiros, Helena Ranaldi, Ravel Cabral, Cláudio Tovar, Pietro Mário, Sidney Guedes, Adelmo Milani, Cacá Amaral, Marcus Dioli, Ulysses Schachter, Priscila Assum, Caio Junqueira, Iran Gomes, Carla Ribas, Mariana Nunes, Maria João Bastos, Miguel Lunardi, Ragi Abib, Julio Freire, Fábio Bastos, Augusto Madeira","Crime, Drama, Thriller",41,25.0,2018.0,2018-03-23,"Elena Soarez, José Padilha","Brazil:16, France:16::(self-applied), Germany:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Singapore:R21, South Korea:18, Spain:16, Turkey:18+::(self-applied), United States:TV-MA",Brazil,Portuguese,8.0
The Innocents,tv series,8021824,6.3,5641.0,"Sorcha Groundsell, Percelle Ascott, Guy Pearce, Jóhannes Haukur Jóhannesson, Laura Birn, Sam Hazeldine, Nadine Marshall, Lise Risom Olsen, Arthur Hughes, Ingunn Beate Øyen, Philip Wright, Trond Fausa, Abigail Hardingham, Andrew Koji, Scott Haining, Olivia Marie Fearn, Ben Rose, Alex Williams, Chris Abe, Jason Riddington, Jamie Dorrington, Andrew Lee Potts, Sabrina Bartlett, Clare Calbraith, Joe Tandberg, Katie Clarkson-Hill, Sergej Onopko, Gintare Beinoraviciute, Joan Blackham, Augusta Woods, Obie Matthew, Omar Baroud, Maggie Daniels, Halfdan Hallseth, Robert Cox, Joe Hughes, Gjevat Kelmendi, Xiao Xue Xu Lin, Martin Bratanov, Mathias Asplund, Stuart Dunstan, Richard E. Davies, Jason Done, Georgie-May Tearle, Steffan Donnelly, Jennifer Nicholas, Orla Cottingham, Øystein Schiefloe Kanestrøm, Kamil Lemieszewski, Jonny Bjørkhaug","Drama, Horror, Mystery, Romance, Sci-Fi, Thriller",60,25.0,2018.0,2018-08-24,"Hania Elkington, Simon Duric, Corinna Faith","Argentina:13, Brazil:16::(self-applied), France:13::(self-applied), Germany:12, India:18::(self-applied), Italy:T, Norway:12::(self-applied), Philippines:18+::(self-applied), Singapore:M18, South Korea:18, Spain:13, Spain:13::(Netflix), Turkey:18+::(self-applied), United States:TV-MA::(TV rating)",United Kingdom,English,8.0
Godless,tv mini series,5516154,8.3,59221.0,"Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Tantoo Cardinal, Jeff Daniels, Adam David Thompson, Samantha Soule, Kayli Carter, Audrey Moore, Keith Jardine, Rio Alexander, Justin Welborn, Samuel Marty, Luke Robertson, Tess Frazer, Joe Pingue, Russell Dennis Lewis, Matthew Dennis Lewis, Travis Hammer, Marie Wagenman, Brian Lee Franklin, Jeremy Bobb, Randy Oglesby, Christiane Seidel, Julian Grey, Sophia Silver, Kim Coates, Duane Howard, Michael Earl Reid, Russell G. Jones, John Lawlor, Jessica Sula, Courtney Cunningham, Matthew Menalo, Erik LaRay Harvey, Elisa Perry, Rob Morgan, Barbie Robertson, Mathew Greer, Marceline Hugot, Lela Rose Allen, Sam Waterston, Christopher Fitzgerald, John Wylie, Gene Jones, Griffin Kane, Michael Horse, Nathan Darrow","Action, Drama, Western",452,25.0,2017.0,2017-11-22,Scott Frank,"Argentina:16, Brazil:16, Norway:16::(Netflix self-rating), Singapore:M18, South Korea:18, Spain:16::(self-applied), United States:TV-MA",United States,English,7.0
Spinning Out,tv series,9117054,7.6,12505.0,"Kaya Scodelario, January Jones, Willow Shields, Evan Roderick, David James Elliott, Sarah Wright, Svetlana Efremova, Amanda Zhou, Will Kemp, Mitchell Edwards, Kaitlyn Leeb, Jamie Champagne, Jon Champagne, Charlie Hewson, Will Bowes, Dylan Moscovitch, Johnny Weir, Kim Deguise Léveillée, Michelle Long, Raven Dauda, Lindsey Connell, Paula Boudreau, Oscar Hsu, Grayson Long, Zahra Bentham, Morgan Kelly, Madeline Schizas, Lucy Margey, Shauna MacDonald, Evelyn Walsh, Trennt Michaud, Lilika Zheng, Eli Brown, Elisa Campanella, Maya Misaljevic, Bill Lake, Vinson Tran, Jefferson Brown, Jane Luk, Hannah Gordon, Marcus Le, Jennifer Gibson, Arlene Duncan, Elizabeth Putnam, Aidan Wright, Nataliya Rodina, Deanna Jarvis, Brielle Robillard, Joanne Reece, Catherine Saindon","Drama, Sport",48,25.0,2020.0,2020-01-01,"Leon Chills, Leon Chills, Elizabeth Higgins Clark","Argentina:16, Australia:MA15+, Brazil:14::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(self-applied), India:12+, India:18::(self-applied), Italy:VM14::(self-applied), Mexico:C, Netherlands:12, Philippines:18+::(self-applied), Singapore:M18, South Korea:18, Spain:13::(self-applied), Sweden:13::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA",United States,English,10.0
Triad Princess,tv series,9314996,6.8,585.0,"Eugenie Liu, Jasper Liu, Olivia Castanho, Cecilia Choi, Sing Hom, Dylan J. Locke, Yu-Ning Tsao, Ren Hanami, Edan Moses, Alana Lasry, Collin Chute","Adventure, Drama",NA,15.0,2019.0,2019-12-06,"Pei-Wen Chen, Neal Wu","Argentina:16, India:16::(self-applied), Italy:T, Singapore:NC16, South Korea:15, Spain:13, United Kingdom:15",Taiwan,NA,6.0
Astronomy Club,tv series,10675488,7.1,552.0,"Jonathan Braylock, James III, Jerah Milligan, Caroline Martin, Monique Moses, Keisha Zollar, Ray Cordova, Shawtane Monroe Bowen, Gillian Jacobs, Ice Cube, Busy Philipps, Drew Tarver, Josh Ruben, Kelli Erdmann, Jon Gabrus, Jonny Berryman, Kyrie Mcalpin, Ashleigh Crystal Hairston, David Sampen, Katierose Donohue Enriquez, Samuel Stricklen, Andrew Kimler, Sophia Lavonne, David Horton, Olga Bezrukova, Jake Elitzer, Katharine Lerner, Kaison Williams, Ryan McBay, Terrance Kendrick",Comedy,20,16.0,2019.0,2019-12-06,"Jonathan Braylock, Jonathan Braylock, Ray Cordova","Netherlands:12, Singapore:R21, South Korea:18, United Kingdom:15, United States:TV-MA",United States,English,6.0
Dollar,tv series,10687564,6.7,565.0,"Adel Karam, Amel Bouchoucha, Jarrod Pistilli, Tom Waters, Abigail Boucher, Carmen Lebbos, Abbas Jaafar, Oscar Emmanuel Fabela, Mohamed Maghraoui, Safaa Sultan, Aline Lahoud","Action, Drama, Romance",NA,25.0,2019.0,2019-08-08,Hisham Hilal,"Argentina:16, France:16::(self-applied), Italy:VM14::(self-applied), Singapore:NC16, Turkey:16+::(self-applied), United Kingdom:15",Lebanon,Arabic,15.0
